source	target
Automatically launch editor when key is pressed in the mail composer.	Автоматикла аредактор аус арура арыд ақәыӷәӷәараан  ацҳамҭа аредакциазуратә ԥенџьыр аҟны  
Enable icon in notification area.	Ардырра аҵакыраҟны адыргаҷ аҿакра
[]	[]
Evolution	Evolution
Address “{0}” already exists.	Аҭыӡҭыԥ «{0}» иҟалахьеит
SIP Address	Аҭыӡҭыԥ SIP
_PO Box:	_Абоненттә иашьык:
_Address:	_Аҭыӡҭыԥ
_Redo	_архынҳәра
Redo	Архынҳәра
X.509	X.509
PGP	PGP
I	I
II	II
III	III
evolution address book	аҭыӡҭыԥтәи ашәҟәы evolution
SIP	SIP
AIM	AIM
GroupWise	GroupWise
ICQ	ICQ
Jabber	Jabber
MSN	MSN
Yahoo	Yahoo
Gadu-Gadu	Gadu-Gadu
Skype	Skype
Twitter	Twitter
Address	Аҭыӡҭыԥ
card.vcf	card.vcf
TTYTDD	TTYTDD
Evolution LDIF importer	Evolution LDIF importer
vCard (.vcf, .gcrd)	vCard (.vcf, .gcrd)
Evolution vCard Importer	Evolution vCard Importer
AIM	AIM
Jabber	Jabber
Yahoo	Yahoo
Gadu-Gadu	Gadu-Gadu
MSN	MSN
ICQ	ICQ
GroupWise	GroupWise
Skype	Skype
Twitter	Twitter
Google Talk	Google Talk
SIP	SIP
IM	IM
Location	Аҭыӡҭыԥ
More Than	Иҵегь ахышәарақәа...
Location: %s	Аҭыӡҭыԥ:%s
…	…
%s at %s	%s аҟны %s
Location:	Аҭыӡҭыԥ:
April	Мшаԥы
August	Нанҳәа
%d %b	%d %b
%s (%d)	%s (%d)
Yes	Ааи
Organizer address is not a valid user mail address	Аиҽкаҩ иҭыӡҭыԥ иақәнагам ҭыӡҭыԥуп ахархәаҩ иелектрн пошьҭазы.
on	аҟны
on the	аҟны
Group	Агәыԥ
_<<	<_<
_Autopick	_Автоматикла алхра
>_>	>_>
%d%%	%d%%
%s (%s)	%s (%s)
%d %B	%d %B
URL: %s	URL: %s
is greater than	Иҵегь ахышәарақәа...
Location	Аҭыӡҭыԥ
URL	URL
Africa/Abidjan	Африка/Абиджан
Africa/Accra	Африка/Аккра
Africa/Addis_Ababa	Африка/Аддис-Абеба
Africa/Algiers	Африка/Алжир
Africa/Asmera	Африка/Асмара
Africa/Bamako	Африка/Бамако
Africa/Bangui	Африка/Банги
Africa/Banjul	Африка/Банжул
Africa/Bissau	Африка/Бисау
Africa/Blantyre	Африка/Блантир
Africa/Brazzaville	Африка/Браззавиль
Africa/Bujumbura	Африка/Бужумбура
Africa/Cairo	Африка/Каир
Africa/Casablanca	Африка/Касабланка
Africa/Ceuta	Африка/Сеута
Africa/Conakry	Африка/Конакри
Africa/Dakar	Африка/Дакар
Africa/Dar_es_Salaam	Африка/Дар-ес-Салам
Africa/Djibouti	Африка/Джибути
Africa/Douala	Африка/Дуала
Africa/El_Aaiun	Африка/El_Aaiun
Africa/Freetown	Африка/Фритаун
Africa/Gaborone	Африка/Габороне
Africa/Harare	Африка/Хараре
Africa/Johannesburg	Африка/Иоханнесбург
Africa/Kampala	Африка/Кампала
Africa/Khartoum	Африка/Хартум
Africa/Kigali	Африка/Кигали
Africa/Kinshasa	Африка/Киншаса
Africa/Lagos	Африка/Лагос
Africa/Libreville	Африка/Либревиль
Africa/Lome	Африка/Ломе
Africa/Luanda	Африка/Луанда
Africa/Lubumbashi	Африка/Лубумбаши
Africa/Lusaka	Африка/Лусака
Africa/Malabo	Африка/Малабо
Africa/Maputo	Африка/Мапуту
Africa/Maseru	Африка/Масеру
Africa/Mbabane	Африка/Мбабане
Africa/Mogadishu	Африка/Могадишо
Africa/Monrovia	Африка/Монровииа
Africa/Nairobi	Африка/Наироби
Africa/Ndjamena	Африка/Нджамена
Africa/Niamey	Африка/Ниамеи
Africa/Nouakchott	Африка/Нуакшот
Africa/Ouagadougou	Африка/Уагадугу
Africa/Porto-Novo	Африка/Порто-Ново
Africa/Sao_Tome	Африка/Сан-Томе
Africa/Timbuktu	Африка/Тимбукту
Africa/Tripoli	Африка/Триполи
Africa/Tunis	Африка/Тунис
Africa/Windhoek	Африка/Виндхук
America/Adak	Америка/Адак
America/Anchorage	Америка/Анкоридж
America/Anguilla	Америка/Ангильиа
America/Antigua	Америка/Антигуа
America/Araguaina	Америка/Арагуари
America/Aruba	Америка/а-а Аруба
America/Asuncion	Америка/Асунсьон
America/Barbados	Америка/Барбадос
America/Belem	Америка/Белем
America/Belize	Америка/Белиз
America/Boa_Vista	Америка/Боа Виста
America/Bogota	Америка/Богота
America/Boise	Америка/Боисе
America/Buenos_Aires	Америка/Буенос-Аирес
America/Cambridge_Bay	Америка/Кембридж-Беи
America/Cancun	Америка/Канкун
America/Caracas	Америка/Каракас
America/Catamarca	Америка/Катамарка
America/Cayenne	Америка/Кайенна
America/Cayman	Америка/Каиман
America/Chicago	Америка/Чикаго
America/Chihuahua	Америка/Чихуахуа
America/Cordoba	Америка/Кордоба
America/Costa_Rica	Америка/Коста-Рика
America/Cuiaba	Америка/Куиаба
America/Curacao	Америка/Курасао
America/Danmarkshavn	Америка/Денмаркшавн
America/Dawson	Америка/Досон
America/Dawson_Creek	Америка/Досон-Крик
America/Denver	Америка/Денвер
America/Detroit	Америка/Детроит
America/Dominica	Америка/Доминика
America/Edmonton	Америка/Эдмонтон
America/Eirunepe	Америка/Eirunepe
America/El_Salvador	Америка/Ель-Сальвадор
America/Fortaleza	Америка/Форталеза
America/Glace_Bay	Америка/Glace_Bay
America/Godthab	Америка/Готхоб
America/Goose_Bay	Америка/Goose_Bay
America/Grand_Turk	Америка/Grand_Turk
America/Grenada	Америка/Гренада
America/Guadeloupe	Америка/Гваделупа
America/Guatemala	Америка/Гватемала
America/Guayaquil	Америка/Гуаякиль
America/Guyana	Америка/Гаиана
America/Halifax	Америка/Галифакс
America/Havana	Америка/Гавана
America/Hermosillo	Америка/Гермосилло
America/Indiana/Indianapolis	Америка/Индиана/Индианаполис
America/Indiana/Knox	Америка/Индиана/Нокс
America/Indiana/Marengo	Америка/Индиана/Маренго
America/Indiana/Vevay	Америка/Индиана/Вивеи
America/Indianapolis	Америка/Индианаполис
America/Inuvik	Америка/Инувик
America/Iqaluit	Америка/Iqaluit
America/Jamaica	Америка/Иамаика
America/Jujuy	Америка/Jujuy
America/Juneau	Америка/Джуно
America/Kentucky/Louisville	Америка/Кентукки/Луисвиль
America/Kentucky/Monticello	Америка/Кентукки/Монтицелло
America/La_Paz	Америка/Ла-Пас
America/Lima	Америка/Лима
America/Los_Angeles	Америка/Лос-Анджелес
America/Louisville	Америка/Луисвиль
America/Maceio	Америка/Масеио
America/Managua	Америка/Манагуа
America/Manaus	Америка/Манаус
America/Martinique	Америка/Мартиника
America/Mazatlan	Америка/Масатлан
America/Mendoza	Америка/Мендоза
America/Menominee	Америка/Menominee
America/Merida	Америка/Мерида
America/Mexico_City	Америка/Мехико
America/Miquelon	Америка/Микелон
America/Monterrey	Америка/Монтерей
America/Montevideo	Америка/Монтевидео
America/Montreal	Америка/Монреаль
America/Montserrat	Америка/Монтсеррат
America/Nassau	Америка/Нассау
America/New_York	Америка/Ниу-Иорк
America/Nipigon	Америка/Нипигон
America/Nome	Америка/Ном
America/Noronha	Америка/Noronha
America/North_Dakota/Center	Америка/Аҩадатәи_Дакота/Ацентр
America/Panama	Америка/Панама
America/Pangnirtung	Америка/Pangnirtung
America/Paramaribo	Америка/Парамарибо
America/Phoenix	Америка/Феникс
America/Port-au-Prince	Америка/Порто-Пренс
America/Port_of_Spain	Америка/Порт-оф-Спеин
America/Porto_Velho	Америка/Porto_Velho
America/Puerto_Rico	Америка/Пуэрто-Рико
America/Rainy_River	Америка/Rainy_River
America/Rankin_Inlet	Америка/Rankin_Inlet
America/Recife	Америка/Ресифи
America/Regina	Америка/Регина
America/Rio_Branco	Америка/Рио-Бранко
America/Rosario	Америка/Розарио
America/Santiago	Америка/Сантиаго
America/Santo_Domingo	Америка/Санто-Доминго
America/Sao_Paulo	Америка/Сан-Пауло
America/Scoresbysund	Америка/Иллоккортоормиут
America/Shiprock	Америка/Шипрок
America/St_Johns	Америка/Сент-Джонс
America/St_Kitts	Америка/Сент-Китси Невиси
America/St_Lucia	Америка/Сент-Лиусиа
America/St_Thomas	Америка/Сент-Томас
America/St_Vincent	Америка/Сент-Винсент
America/Swift_Current	Америка/Свифт Каррент
America/Tegucigalpa	Америка/Тегучигалпа
America/Thule	Америка/Туле
America/Thunder_Bay	Америка/Тандер-Беи
America/Tijuana	Америка/Тихуана
America/Tortola	Америка/Тортола
America/Vancouver	Америка/Ванкувер
America/Whitehorse	Америка/Ваитхорс
America/Winnipeg	Америка/Виннипег
America/Yakutat	Америка/Иакутат
America/Yellowknife	Америка/Иеллоунаиф
Antarctica/Davis	Антарктика/Деивис
Antarctica/DumontDUrville	Антарктика/Диумон-д'Иурвиль
Antarctica/Mawson	Антарктика/Моусон
Antarctica/McMurdo	Антарктика/Марк-Мердо
Antarctica/Palmer	Антарктика/Палмер
Antarctica/South_Pole	Антарктика/Аладатәи аполиус
Antarctica/Syowa	Антарктика/Сева
Antarctica/Vostok	Антарктика/Восток
Asia/Aden	Азиа/Аден
Asia/Almaty	Азиа/Алматы
Asia/Amman	Азиа.Амман
Asia/Anadyr	АзиаАнадырь
Asia/Aqtau	Азиа/Актау
Asia/Aqtobe	АзияаАктиубинск
Asia/Ashgabat	Азиа/Ашхабад
Asia/Baghdad	Азиа/Багдад
Asia/Bahrain	Азиа/Бахреин
Asia/Baku	АзиаБаку
Asia/Bangkok	Азиа/Бангкок
Asia/Beirut	Азиа/Беирут
Asia/Bishkek	Азия/Бишкек
Asia/Brunei	Азия/Брунеи
Asia/Calcutta	Азиа/Калькутта
Asia/Choibalsan	Азиа/Чоибалсан
Asia/Chongqing	Азиа/Чунцин
Asia/Colombo	Азиа/Коломбо
Asia/Damascus	Азиа/Дамаск
Asia/Dhaka	Азиа/Дакка
Asia/Dili	Азиа/Дили
Asia/Dubai	Азиа/Дубаи
Asia/Dushanbe	Азиа/Душанбе
Asia/Gaza	Азиа/Газа
Asia/Harbin	Азиа/Харбин
Asia/Hong_Kong	Азиа/Гонконг
Asia/Hovd	Asia/Hovd
Asia/Irkutsk	Азиа/Иркутск
Asia/Istanbul	Азиа/Стамбул
Asia/Jakarta	Азиа/Джакарта
Asia/Jayapura	Азиа/Джаиапура
Asia/Jerusalem	Азиа/Иерусалим
Asia/Kabul	Азиа/Кабул
Asia/Kamchatka	Азиа/Камчатка
Asia/Karachi	Азиа/Карачи
Asia/Kashgar	Азиа/Кашгар
Asia/Kathmandu	Азиа/Катманду
Asia/Krasnoyarsk	Азиа/Красноярск
Asia/Kuala_Lumpur	Азиа/Куала-Лумпур
Asia/Kuching	Азиа/Кучинг
Asia/Kuwait	Азиа/Кувеит
Asia/Macao	Азиа/Макао
Asia/Macau	Азиа/Макао
Asia/Magadan	Азиа/Магадан
Asia/Makassar	Азиа/Макассар
Asia/Manila	Азиа/Манила
Asia/Muscat	Азиа/Мускат
Asia/Nicosia	Азиа/Никосия
Asia/Novosibirsk	Азиа/Новосибирск
Asia/Omsk	Азиа/Омск
Asia/Oral	Азиа/Орал
Asia/Phnom_Penh	Азиа/Пномпень
Asia/Pontianak	Азиа/Понтианак
Asia/Pyongyang	Азиа/Пхениан
Asia/Qatar	Азиа/Катар
Asia/Qyzylorda	Азиа/Кызыл-Орда
Asia/Rangoon	Азиа/Рангун
Asia/Riyadh	Азиа/Эр-Рияд
Asia/Saigon	Азиа/Саигон
Asia/Sakhalin	Азиа/Сахалин
Asia/Samarkand	Азиа/Самарканд
Asia/Seoul	Азиа/Сеул
Asia/Shanghai	Азиа/Шанхаи
Asia/Singapore	Азиа/Сингапур
Asia/Taipei	Азиа/Таипеи
Asia/Tashkent	Азиа/Ташкент
Asia/Tbilisi	Азиа/Тбилиси
Asia/Tehran	Азиа/Тегеран
Asia/Thimphu	Азиа/Тхимпху
Asia/Tokyo	Азиа/Токио
Asia/Ujung_Pandang	Азиа/Унджунг-Панданг
Asia/Ulaanbaatar	Азиа/Улан-Батор
Asia/Urumqi	Азиа/Урумчи
Asia/Vientiane	Азия/Вьентиан
Asia/Vladivostok	Азия/Владивосток
Asia/Yakutsk	Азиа/Якутск
Asia/Yekaterinburg	Азиа/Екатеринбург
Asia/Yerevan	Азиа/Ереван
Australia/Adelaide	Австралия/Аделаида
Australia/Brisbane	Австралия/Брисбен
Australia/Broken_Hill	Австралия/Брокен-Хилл
Australia/Darwin	Австралия/Дарвин
Australia/Hobart	Австралия/Хобарт
Australia/Lindeman	Австралия/Линдеман
Australia/Lord_Howe	Австралия/ат.Лорд-Хау(Онтонг-Джава)
Australia/Melbourne	Австралия/Мельбурн
Australia/Perth	Австралия/Перт
Australia/Sydney	Австралия/Сиднеи
(no subject)	(Темада)
HTML	HTML
Security	Ашәарҭадара
Date	Аамҭарба
Address Books	Аҭыӡҭыԥтә шәҟәы
Address _Book	Аҭыӡҭыԥтәи ашә_ҟәы
%s	%s
attachment.dat	attachment.dat
Autocomplete with this address book	Абри аҭыӡҭыԥшәҟәы ацхыраарала автоматикла ахарҭәаара
%B	%B
%Y	%Y
%B %Y	%B %Y
?	?
Arabic	Арабтәи
Baltic	Абалтикатә
Offline	Автономла
Address Book	Аҭыӡҭыԥтәи ашәҟәы
_Email Address or User name:	_Аел. ԥошьҭа аҭыӡҭыԥ мамзар ахархәаҩ ихьӡ
white	Ашкәакәа
<click here to select a date>	<шәақәыӷәӷәа аамҭарба алхразы>
_HTML	_HTML
_Markdown	_Markdown
A_ddress	Аҭыӡҭыԥ
_Alphabetical List	_Алфавиттә ахьӡынҵа
-2	-2
-1	-1
0	0
1	1
2	2
3	3
4	4
Paragraph…	Абзац...
<b>Scope</b>	<b>Адаԥа</b>
<b>Alignment &amp; Behavior</b>	<b>Аиаҟаратәреи ахымҩаԥгашьеи</b>
<b>Layout</b>	<b>Аҭыԥ аанкылара</b>
<b>Background</b>	<b>адыԥшылахә</b>
<b>Size</b>	<b>Ашәагаа</b>
<b>Style</b>	<b>Астиль</b>
<b>General</b>	<b>Азеиԥш</b>
<b>Link</b>	<b>Азхьарԥш</b>
_URL:	_URL:
<b>Alignment</b>	<b>Аиҟаратәра</b>
<b>Suggestions for “%s”</b>	<b>Аварианқәа «%s»</b> азы
<b>Suggestions</b>	<b>Авариантқәа</b>
<b>Dictionary</b>	<b>Ажәар</b>
Import Location	Аҭыӡҭыԥқәа аимпорт азы
Autogenerated	Автоматикла агенерациа зызу
%s (%s)	%s (%s)
Address B_ook:	_Аҭыӡҭыԥтәи ашәҟәы:
Automatic	Автоматикла
<b>Advanced Proxy Preferences</b> lets you define alternate network proxies and apply them to specific accounts	<b>Иҭбаау ахышәарақәа прокси</b> альтернативтә прокси ашьақәыргылара алшара шәнаҭоит, насгьы иҷыдоу аҳасабырбатә нҵамҭақәа  рахь ахархәара рыҭара
A_uto-delete sent item	А_втоматикла ишьҭу афаилқәа рныхра
UTC	UTC
Address book	Аҭыӡҭыԥтәи ашәҟәы
Fwd: %s	Fwd: %s
No Subject	(Темада)
TLS	TLS
STARTTLS	STARTTLS
(No Subject)	(Темада)
Email Address cannot be empty	Аел. ԥошьҭа аҭыӡҭыԥ ҭацәызар ҟалаӡом
%s — %s	%s — %s
Pretty Good Privacy (OpenPGP)	Pretty Good Privacy (OpenPGP)
Si_gning algorithm:	А_напаҵыҩра алгоритм:
SHA1	SHA1
SHA256	SHA256
SHA384	SHA384
SHA512	SHA512
Secure MIME (S/MIME)	Ишәарҭам MIME (S/MIME)
Signing _algorithm:	_Анапаҵыҩра алгоритм:
Email Address:	Аел. ԥошьҭа аҭыӡҭыԥ:
Security:	Ашәарҭадара:
Force images in HTML mail to be loaded	Аԥшранҵақәа  HTML аформат рыманы  аԥошьҭа ахь рҭагалара аҿакра 
