П_окинуть полноэкранный режим,,_Leave Fullscreen
_Пауза,_Ааҭгылара,_Pause
"%s ― свободное программное обеспечение. Вы можете распространять или изменять его при условиях соответствия GNU General Public License опубликованной Free Software Foundation; либо версии %d лицензии, либо (на ваше усмотрение) любой более поздней версии.",,"%s is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version %d of the License, or (at your option) any later version."
"%s распространяется в надежде на то, что приложение будет полезно, но БЕЗ ВСЯКИХ ГАРАНТИЙ; не гарантируется даже ПРИГОДНОСТЬ или СООТВЕТСТВИЕ КАКИМ-ЛИБО ТРЕБОВАНИЯМ. Для получения дополнительной информации ознакомьтесь с GNU General Public License.",,"%s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details."
"Вы должны получить копию GNU General Public License вместе с этой программой. Если этого не произошло, посмотрите <http://www.gnu.org/licenses/>.",,"You should have received a copy of the GNU General Public License along with this program.  If not, see <http://www.gnu.org/licenses/>."
Аккордеон,Аккордеон,Accordion
Агнэс,Агнес,Agnes
Афина,Афина,Athena
Олд Лэнг Сайн,,Auld Lang Syne
Тётя Мэри,,Aunt Mary
Позвоночник,,Backbone
Пекарева дюжина,,Bakers Dozen
Игра пекаря,,Bakers Game
Медвежья река,,Bear River
Осаждённый замок,,Beleaguered Castle
Десятый блок,,Block Ten
Бристоль,Бристоль,Bristol
Камелот,,Camelot
Каталажка,,Canfield
Ковёр,,Carpet
Шахматная доска,,Chessboard
Часы,,Clock
Конверт,,Cover
Жестокость,,Cruel
Алмазная шахта,Алмастә шахта,Diamond Mine
Дуплеты,,Doublets
Орлиное крыло,,Eagle Wing
Восточное убежище,,Easthaven
Без восьмёрок,аабақәа рыда,Eight Off
Лифт,,Elevator
Элиминатор,,Eliminator
Эскалатор,,Escalator
Первый закон,,First Law
Крепость,,Fortress
Фортуна,,Fortunes
Сорок воров,,Forty Thieves
Четырнадцать,,Fourteen
Свободная ячейка,,Freecell
Пролом,,Gaps
Весёлые Гордоны,Илахҿыху Агордонқәа,Gay Gordons
Гигант,,Giant
Гленвуд,,Glenwood
Золотая шахта,,Gold Mine
Гольф,,Golf
Цыгане,,Gypsy
Гамильтон,,Hamilton
Хельсинки,,Helsinki
Классики,,Hopscotch
Изабель,,Isabel
Джеймстаун,,Jamestown
Джамбо,,Jumbo
Канзас,,Kansas
Король Альберт,,King Albert
Аудиенция у короля,,Kings Audience
Косынка,,Klondike
Лабиринт,,Labyrinth
Леди Джейн,,Lady Jane
Подземелье,,Maze
Монте-Карло,,Monte Carlo
Гробница Наполеона,,Napoleons Tomb
Сосед,,Neighbor
Одесса,,Odessa
Осмос,,Osmosis
Подглядки,,Peek
Склад,,Pileon
Косичка,,Plait
Покер,,Poker
Стиль,,Quatorze
Королевский восток,,Royal East
Дорожный сундук,,Saratoga
Скорпион,,Scorpion
Скафл,,Scuffle
Морское убежище,,Seahaven
Сэр Томми,,Sir Tommy
Солитэр,,Sol
Паук,,Spider
Паук с тремя колодами,,Spider Three Decks
Паучиха,,Spiderette
Прямо вверх,,Straight Up
Улицы и аллеи,,Streets And Alleys
Шаблон,,Template
Десять поперёк,,Ten Across
Терраса,,Terrace
Воры,,Thieves
Тринадцать,,Thirteen
Рука и кошелёк,,Thumb And Pouch
Трейз,,Treize
Три острия,,Triple Peaks
Общая площадь,,Union Square
Валентин,Валентаин,Valentine
Стена,,Wall
Западное убежище,,Westhaven
Белая голова,Ахы шкәакәа,Whitehead
Мельница и прутик,,Will O The Wisp
Урожай,,Yield
Юкон,,Yukon
Зебра,,Zebra
выбор,,chooser
основание,,foundation
резерв,,reserve
колода,,stock
игровое поле,,tableau
сброс,,waste
%s в выборе,,%s on chooser
%s в основании,,%s on foundation
%s в резерве,,%s on reserve
%s в колоде,,%s on stock
%s на игровом поле,,%s on tableau
%s в сбросе,,%s on waste
В этой игре подсказки ещё не реализованы.,,This game does not have hint support yet.
Положить %s на %s.,,Move %s onto %s.
В этой игре нельзя получить подсказку.,,This game is unable to provide a hint.
Основные,Зегьы ирзаку,General
Начать новую игру,Ахәмарра ҿыц алагара,Start a new game
Сдать,,Deal
Отменить,Архынҳәра,Undo
Возвратить,Архынҳәра,Redo
Полноэкранный режим,Аекран зегьы иҭаӡо,Fullscreen
Закрыть окно,Аҧенџьыр аркра,Close window
Справка,Аилыркаа,Help
Показать подсказку,Аҵаҳәара арбара,Show a hint
Показать подсказку,Аилыркаа арбара,Show Help
Показать помощь для этой игры,,Show Help for this game
Показать сочетания клавиш,Арыдқәа реилаҵа арбара ,Show Keyboard Shortcuts
J,,JOKER
Т,,A
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
В,,J
Д,,Q
К,,K
1,1,1
туз треф,,ace of clubs
двойка треф,,two of clubs
тройка треф,,three of clubs
четвёрка треф,,four of clubs
пятёрка треф,,five of clubs
шестёрка треф,,six of clubs
семёрка треф,,seven of clubs
восьмёрка треф,,eight of clubs
девятка треф,,nine of clubs
десятка треф,,ten of clubs
валет треф,валет треф,jack of clubs
дама треф,,queen of clubs
король треф,,king of clubs
туз бубен,,ace of diamonds
двойка бубен,,two of diamonds
тройка бубен,,three of diamonds
четвёрка бубен,,four of diamonds
пятёрка бубен,,five of diamonds
шестёрка бубен,,six of diamonds
семёрка бубен,,seven of diamonds
восьмёрка бубен,,eight of diamonds
девятка бубен,,nine of diamonds
десятка бубен,,ten of diamonds
валет бубен,валет бубен,jack of diamonds
дама бубен,,queen of diamonds
король бубен,,king of diamonds
туз червей,,ace of hearts
двойка червей,,two of hearts
тройка червей,,three of hearts
четвёрка червей,,four of hearts
пятёрка червей,,five of hearts
шестёрка червей,,six of hearts
семёрка червей,,seven of hearts
восьмёрка червей,,eight of hearts
девятка червей,,nine of hearts
десятка червей,,ten of hearts
валет червей,Афурҭ агәыҟаԥшь,jack of hearts
дама червей,,queen of hearts
король червей,,king of hearts
туз пик,,ace of spades
двойка пик,,two of spades
тройка пик,,three of spades
четвёрка пик,,four of spades
пятёрка пик,,five of spades
шестёрка пик,,six of spades
семёрка пик,,seven of spades
восьмёрка пик,,eight of spades
девятка пик,,nine of spades
десятка пик,,ten of spades
валет пик,валет пик,jack of spades
дама пик,,queen of spades
король пик,,king of spades
перевёрнутая карта,,face-down card
чёрный джокер,,black joker
красный джокер,,red joker
Файл справки «%s.%s» не найден,,Help file “%s.%s” not found
Не удалось показать справку по «%s»,,Could not show help for “%s”
Высота окна,Аԥенџьыр аҳаракыра,Window height
Пасьянс,,Solitaire
Пасьянс GNOME,,GNOME Solitaire
О пасьянсе,,About Solitaire
Выберите игру,,Select the game type to play
ИМЯ,,NAME
Пасьянс Свободная ячейка,,FreeCell Solitaire
Айслериот,Аислериот,AisleRiot
Выиграно:,,Wins:
Всего:,,Total:
Процентов:,,Percentage:
Побед,,Wins
Лучшая:,,Best:
Худшая:,,Worst:
Время,Аамҭа,Time
Статистика,,Statistics
%d,%d,%d
%d%%,%d%%,%d%%
Н/Д,,N/A
%d:%02d,%d:%02d,%d:%02d
"Поздравляем, вы выиграли!",,"Congratulations, you have won!"
Больше нет вариантов ходов,Аныҟәарақәа рвариантқәа уаҳа ыҟаӡам,There are no more moves
Основная игра:,Ихадароу ахәмарра,Main game:
Карточные игры:,,Card games:
Стиль карт:,,Card themes:
О программе,,About AisleRiot
"Айслериот предоставляет карточный движок для пасьянсов, который позволяет играть в различные игры.","Аиселиот ишәыднагалоит  апасиансқәа рзы амацақәа реиҭагага, еиуеипшым ахәмарракәа рыхәмарразы.",AisleRiot provides a rule-based solitaire card engine that allows many different games to be played.
"Станислав Соловей <whats_up@tut.by>, 2013-2019.
Юрий Мясоедов <ymyasoedov@yandex.ru>, 2014.
Alexey Rubtsov <rushills@gmail.com>, 2021","Нанба Наала <naala-nanba@rambler.ru>, 2022",translator-credits
Веб-сайт Айслериот,Веб-асаит Аислериот,AisleRiot web site
Играть в «%s»,,Play “%s”
Использовать тему карт «%s»,,Display cards with “%s” card theme
Возникло исключение scheme,,A scheme exception occurred
"Пожалуйста, сообщите об этом разработчикам.",,Please report this bug to the developers.
_Не сообщать,,_Don't report
_Сообщить,,_Report
_Игра,,_Game
_Вид,_Аԥшра,_View
_Управление,,_Control
_Справка,_Аилыркаа,_Help
Начать игру заново,,Restart the game
_Выбрать игру…,,_Select Game…
Начать другой пасьянс,,Play a different game
Недавние п_асьянсы,,_Recently Played
_Статистика,,S_tatistics
Показать статистику игры,,Show gameplay statistics
Закрыть это окно,,Close this window
Отменить последний ход,,Undo the last move
Вернуть отменённый ход,,Redo the undone move
Раздать ещё карту,,Deal next card or cards
Подсказать следующий ход,Анаҩстәи аныҟәаразы абжьгара аиура,Get a hint for your next move
Показать справку по Aisleriot,,View help for Aisleriot
Показать справку по игре,,View help for this game
Об игре,,About this game
_Горячие клавиши,_Ицоу арыдқәа,_Keyboard Shortcuts
Установить карточную тему…,,Install card themes…
Установить новые карточные темы из репозитория пакетов дистрибутива,,Install new card themes from the distribution packages repositories
Стиль _карт,,_Card Style
Панель _инструментов,,_Toolbar
Показать или скрыть панель инструментов,,Show or hide the toolbar
Панель _состояния,,_Statusbar
Показывать или скрывать панель состояния,,Show or hide statusbar
_Переносить карты нажатием,,_Click to Move
Брать или класть карты с помощью нажатия,"Ақәыӷәӷәара ацхыраарала амацақәа ргара, мамзар рықәҵара",Pick up and drop cards by clicking
_Звук,,_Sound
Воспроизводить ли звуки событий,,Whether or not to play event sounds
Счёт:,Аихшьала:,Score:
Время:,,Time:
Не удалось начать игру «%s»,,Cannot start the game “%s”
Не удалось найти последнюю сыгранную игру.,,Aisleriot cannot find the last game you played.
"Обычно это происходит, если запущена более старая версия программы Айслериот, в которой игра ещё не поддерживалась. Вместо этого будет запущена игра по умолчанию — Косынка.",,"This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead."
Основная карта: ~a,,Base Card: ~a
Основная карта: Туз,,Base Card: Ace
Основная карта: Валет,,Base Card: Jack
Основная карта: Дама,,Base Card: Queen
Основная карта: Король,,Base Card: King
Осталось в колоде:,,Stock left:
Осталось в колоде: 0,,Stock left: 0
Ещё раздать карты,,Deal more cards
Попробуйте перетасовать карты,,Try rearranging the cards
Неизвестный цвет,,Unknown color
чёрный джокер,,the black joker
красный джокер,,the red joker
туз треф,,the ace of clubs
двойка треф,,the two of clubs
тройка треф,,the three of clubs
четыре треф,,the four of clubs
пять треф,,the five of clubs
шесть треф,,the six of clubs
семь треф,,the seven of clubs
восемь треф,,the eight of clubs
девять треф,,the nine of clubs
десять треф,,the ten of clubs
валет треф,валет треф,the jack of clubs
дама треф,,the queen of clubs
король треф,,the king of clubs
неизвестная карта,,the unknown card
туз пик,,the ace of spades
двойка пик,,the two of spades
тройка пик,,the three of spades
четыре пик,,the four of spades
пять пик,,the five of spades
шесть пик,,the six of spades
семь пик,,the seven of spades
восемь пик,,the eight of spades
девять пик,,the nine of spades
десять пик,,the ten of spades
валет пик,валет пик,the jack of spades
дама пик,,the queen of spades
король пик,,the king of spades
туз червей,,the ace of hearts
двойка червей,,the two of hearts
тройка червей,,the three of hearts
четыре червей,,the four of hearts
пять червей,,the five of hearts
шесть червей,,the six of hearts
семь червей,,the seven of hearts
восемь червей,,the eight of hearts
девять червей,,the nine of hearts
десять червей,,the ten of hearts
валет червей,Афурҭ агәыҟаԥшь,the jack of hearts
дама червей,,the queen of hearts
король червей,,the king of hearts
туз бубен,,the ace of diamonds
двойка бубен,,the two of diamonds
тройка бубен,,the three of diamonds
четыре бубен,,the four of diamonds
пять бубен,,the five of diamonds
шесть бубен,,the six of diamonds
семь бубен,,the seven of diamonds
восемь бубен,,the eight of diamonds
девять бубен,,the nine of diamonds
десять бубен,,the ten of diamonds
валет бубен,валет бубен,the jack of diamonds
дама бубен,,the queen of diamonds
король бубен,,the king of diamonds
Положите ~a в основание.,,Move ~a onto the foundation.
Положите ~a на пустое поле.,,Move ~a onto an empty foundation slot.
Положите ~a на игровое поле.,,Move ~a onto the tableau.
Положите ~a на пустое игровое поле.,,Move ~a onto an empty tableau slot.
Положите ~a в резерв.,,Move ~a onto the reserve.
Положите ~a на пустое резервное поле.,,Move ~a onto an empty reserve slot.
Положить ~a на пустое крайнее поле.,,Move ~a onto an empty edge slot.
Положите ~a на пустое угловое поле.,,Move ~a onto an empty corner slot.
Положите ~a на пустое временное поле.,,Move ~a onto an empty top slot.
Положите ~a на пустое нижнее поле.,,Move ~a onto an empty bottom slot.
Положите ~a на пустое левое поле.,,Move ~a onto an empty left slot.
Положите ~a на пустое правое поле.,,Move ~a onto an empty right slot.
Положите ~a на пустое поле.,,Move ~a onto an empty slot.
Положите ~a на чёрного джокера.,,Move ~a onto the black joker.
Положите ~a на красного джокера.,,Move ~a onto the red joker.
Положите ~a на туза треф.,,Move ~a onto the ace of clubs.
Положите ~a на двойку треф.,,Move ~a onto the two of clubs.
Положите ~a на тройку треф.,,Move ~a onto the three of clubs.
Положите ~a на четвёрку треф.,,Move ~a onto the four of clubs.
Положите ~a на пятёрку треф.,,Move ~a onto the five of clubs.
Положите ~a на шестёрку треф.,,Move ~a onto the six of clubs.
Положите ~a на семёрку треф.,,Move ~a onto the seven of clubs.
Положите ~a на восьмёрку треф.,,Move ~a onto the eight of clubs.
Положите ~a на девятку треф.,,Move ~a onto the nine of clubs.
Положите ~a на десятку треф.,,Move ~a onto the ten of clubs.
Положите ~a на валета треф.,,Move ~a onto the jack of clubs.
Положите ~a на даму треф.,,Move ~a onto the queen of clubs.
Положите ~a на короля треф.,,Move ~a onto the king of clubs.
Положите ~a на неизвестную карту.,,Move ~a onto the unknown card.
Положите ~a на туза пик.,,Move ~a onto the ace of spades.
Положите ~a на двойку пик.,,Move ~a onto the two of spades.
Положите ~a на тройку пик.,,Move ~a onto the three of spades.
Положите ~a на четвёрку пик.,,Move ~a onto the four of spades.
Положите ~a на пятёрку пик.,,Move ~a onto the five of spades.
Положите ~a на шестёрку пик.,,Move ~a onto the six of spades.
Положите ~a на семёрку пик.,,Move ~a onto the seven of spades.
Положите ~a на восьмёрку пик.,,Move ~a onto the eight of spades.
Положите ~a на девятку пик.,,Move ~a onto the nine of spades.
Положите ~a на десятку пик.,,Move ~a onto the ten of spades.
Положите ~a на валета пик.,,Move ~a onto the jack of spades.
Положите ~a на даму пик.,,Move ~a onto the queen of spades.
Положите ~a на короля пик.,,Move ~a onto the king of spades.
Положите ~a на туза червей.,,Move ~a onto the ace of hearts.
Положите ~a на двойку червей.,,Move ~a onto the two of hearts.
Положите ~a на тройку червей.,,Move ~a onto the three of hearts.
Положите ~a на четвёрку червей.,,Move ~a onto the four of hearts.
Положите ~a на пятёрку червей.,,Move ~a onto the five of hearts.
Положите ~a на шестёрку червей.,,Move ~a onto the six of hearts.
Положите ~a на семёрку червей.,,Move ~a onto the seven of hearts.
Положите ~a на восьмёрку червей.,,Move ~a onto the eight of hearts.
Положите ~a на девятку червей.,,Move ~a onto the nine of hearts.
Положите ~a на десятку червей.,,Move ~a onto the ten of hearts.
Положите ~a на валета червей.,,Move ~a onto the jack of hearts.
Положите ~a на даму червей.,,Move ~a onto the queen of hearts.
Положите ~a на короля червей.,,Move ~a onto the king of hearts.
Положите ~a на туза бубен.,,Move ~a onto the ace of diamonds.
Положите ~a на двойку бубен.,,Move ~a onto the two of diamonds.
Положите ~a на тройку бубен.,,Move ~a onto the three of diamonds.
Положите ~a на четвёрку бубен.,,Move ~a onto the four of diamonds.
Положите ~a на пятёрку бубен.,,Move ~a onto the five of diamonds.
Положите ~a на шестёрку бубен.,,Move ~a onto the six of diamonds.
Положите ~a на семёрку бубен.,,Move ~a onto the seven of diamonds.
Положите ~a на восьмёрку бубен.,,Move ~a onto the eight of diamonds.
Положите ~a на девятку бубен.,,Move ~a onto the nine of diamonds.
Положите ~a на десятку бубен.,,Move ~a onto the ten of diamonds.
Положите ~a на валета бубен.,,Move ~a onto the jack of diamonds.
.Положите ~a на даму бубен.,,Move ~a onto the queen of diamonds.
Положите ~a на короля бубен.,,Move ~a onto the king of diamonds.
Уберите чёрного джокера.,,Remove the black joker.
Уберите красного джокера.,,Remove the red joker.
Уберите туза треф.,,Remove the ace of clubs.
Уберите двойку треф.,,Remove the two of clubs.
Уберите тройку треф.,,Remove the three of clubs.
Уберите четвёрку треф.,,Remove the four of clubs.
Уберите пятёрку треф.,,Remove the five of clubs.
Уберите шестёрку треф.,,Remove the six of clubs.
Уберите семёрку треф.,,Remove the seven of clubs.
Уберите восьмёрку треф.,,Remove the eight of clubs.
Уберите девятку треф.,,Remove the nine of clubs.
Уберите десятку треф.,,Remove the ten of clubs.
Уберите валета треф.,,Remove the jack of clubs.
Уберите даму треф.,,Remove the queen of clubs.
Уберите короля треф.,,Remove the king of clubs.
Уберите неизвестную карту.,,Remove the unknown card.
Уберите туза пик.,,Remove the ace of spades.
Уберите двойку пик.,,Remove the two of spades.
Уберите тройку пик.,,Remove the three of spades.
Уберите четвёрку пик.,,Remove the four of spades.
Уберите пятёрку пик.,,Remove the five of spades.
Уберите шестёрку пик.,,Remove the six of spades.
Уберите семёрку пик.,,Remove the seven of spades.
Уберите восьмёрку пик.,,Remove the eight of spades.
Уберите девятку пик.,,Remove the nine of spades.
Уберите десятку пик.,,Remove the ten of spades.
Уберите валета пик.,,Remove the jack of spades.
Уберите даму пик.,,Remove the queen of spades.
Уберите короля пик.,,Remove the king of spades.
Уберите туза червей.,,Remove the ace of hearts.
Уберите двойку червей.,,Remove the two of hearts.
Уберите тройку червей.,,Remove the three of hearts.
Уберите четвёрку червей.,,Remove the four of hearts.
Уберите пятёрку червей.,,Remove the five of hearts.
Уберите шестёрку червей.,,Remove the six of hearts.
Уберите семёрку червей.,,Remove the seven of hearts.
Уберите восьмёрку червей.,,Remove the eight of hearts.
Уберите девятку червей.,,Remove the nine of hearts.
Уберите десятку червей.,,Remove the ten of hearts.
Уберите валета червей.,,Remove the jack of hearts.
Уберите даму червей.,,Remove the queen of hearts.
Уберите короля червей.,,Remove the king of hearts.
Уберите туза бубен.,,Remove the ace of diamonds.
Уберите двойку бубен.,,Remove the two of diamonds.
Уберите тройку бубен.,,Remove the three of diamonds.
Уберите четвёрку бубен.,,Remove the four of diamonds.
Уберите пятёрку бубен.,,Remove the five of diamonds.
Уберите шестёрку бубен.,,Remove the six of diamonds.
Уберите семёрку бубен.,,Remove the seven of diamonds.
Уберите восьмёрку бубен.,,Remove the eight of diamonds.
Уберите девятку бубен.,,Remove the nine of diamonds.
Уберите десятку бубен.,,Remove the ten of diamonds.
Уберите валета бубен.,,Remove the jack of diamonds.
Уберите даму бубен.,,Remove the queen of diamonds.
Уберите короля бубен.,,Remove the king of diamonds.
Сдавать по три карты,,Three card deals
Сдать карты ещё раз,,Deal another round
Осталось пересдач:,,Redeals left:
Сдать новую карту из колоды,,Deal a new card from the deck
Основная карта: ,,Base Card: 
Положите что-нибудь на пустое поле с правой стороны,,Move something onto an empty right-hand tableau slot
Осталось в резерве:,,Reserve left:
Вложить сброс обратно в колоду,,Move waste back to stock
Перенесите карту в основание,,Move a card to the Foundation
Положите что-нибудь на пустое поле,,Move something into the empty Tableau slot
"Хотя пешеходный переход и напоминает игру в классики, это ещё не значит, что на нем обязательно надо играть",,Just because a crosswalk looks like a hopscotch board doesn't mean it is one
"Прежде чем перейти улицу, посмотрите в обе стороны",,Look both ways before you cross the street
А вы читали файл справки?,Афаил аилыркаа шәаԥхьахьоума?,Have you read the help file?
Одесса ― лучшая игра.  Серьёзно.,,Odessa is a better game.  Really.
"Пользоваться турникетами, за исключением самых крайних случаев, не рекомендуется",,Tourniquets are not recommended unless in the direst emergency
Вот я бы прямо сейчас спинку почесал…,,I could sure use a backrub right about now...
"Мониторы не выдадут вам дневную норму витамина D, в отличие от солнечного света…",,Monitors won't give you Vitamin D -- but sunlight will...
"Если вы потерялись в лесу, то хотя бы дерево обнимите",,"If you're ever lost and alone in the woods, hug a tree"
"Однако, рыболовная леска плохо подходит для чистки зубов!",,Fishing wire makes bad dental floss
Разгадка ― в постоянстве,,Consistency is key
"Если нет степлера, то попробуйте обойтись скрепкой и линейкой",,"When without a stapler, a staple and a ruler will work"
Никогда не дуйте собаке в ухо,,Never blow in a dog's ear
Осталось карт: ~a,,Cards remaining: ~a
Пересдать.,,Redeal.
Вы ищете туза.,Шәара туз шәашьҭоуп,You are searching for an ace.
Вы ищете двойку.,Шәара ҩба шәашьҭоуп,You are searching for a two.
Вы ищете тройку.,Шәара хԥа шәашьҭоуп,You are searching for a three.
Вы ищете четвёрку.,Шәара ԥшьба шәашьҭоуп,You are searching for a four.
Вы ищете пятёрку.,Шәара хәба шәашьҭоуп,You are searching for a five.
Вы ищете шестёрку.,Шәара фба шәашьҭоуп,You are searching for a six.
Вы ищете семёрку.,Шәара бжьба шәашьҭоуп,You are searching for a seven.
Вы ищете восьмёрку.,Шәара ааба шәашьҭоуп,You are searching for an eight.
Вы ищете девятку.,Шәара жәба шәашьҭоуп,You are searching for a nine.
Вы ищете десятку.,Шәара жәаба шәашьҭоуп,You are searching for a ten.
Вы ищете валета.,Шәара валет шәашьҭоуп.,You are searching for a jack.
Вы ищете даму.,Шәара аӡӷаб шәлышьҭоуп.,You are searching for a queen.
Вы ищете короля.,Шәара аҳ шәишьҭоуп,You are searching for a king.
Неизвестное значение,,Unknown value
Сдать карту,,Deal a card
Положите короля на пустое игровое поле.,,Move a king onto an empty tableau slot.
Сейчас подсказок нет,,No hint available right now
Положите что-нибудь на свободное место,,Move something on to an empty reserve
Шесть оснований,,Six Foundations
Пять оснований,,Five Foundations
Четыре основания,,Four Foundations
Отыграть карту в основание.,,Play a card to foundation.
Нет ходов.,,No moves.
Убрать тузов,,Remove the aces
Убрать двойки,,Remove the twos
Убрать тройки,,Remove the threes
Убрать четвёрки,,Remove the fours
Убрать пятёрки,,Remove the fives
Убрать шестёрки,,Remove the sixes
Убрать семёрки,,Remove the sevens
Убрать восьмёрки,,Remove the eights
Убрать девятки,,Remove the nines
Убрать десятки,,Remove the tens
Убрать валетов,,Remove the jacks
Убрать дам,,Remove the queens
Убрать королей,,Remove the kings
Я не уверен,,I'm not sure
Вернуть карты в колоду,,Return cards to stock
Положите что-нибудь на пустое поле.,,Move something onto an empty tableau slot.
Попробуйте положить что-нибудь на пустое поле,,Consider moving something into an empty slot
Сдать карту из колоды,,Deal a card from stock
Нет доступных ходов. Отмените последний ход или начните снова.,,No moves are possible. Undo or start again.
Игра не имеет решения. Отмените последний ход или начните снова.,,The game has no solution. Undo or start again.
Дважды щёлкните по любой карте для пересдачи.,,Double click any card to redeal.
Подсказка недоступна.,,No hint available.
Положите двойку в самое левое поле строки ~a.,,Place a two in the leftmost slot of row ~a.
Добавьте в стопку в строке ~a.,,Add to the sequence in row ~a.
Положите двойку треф рядом с тузом треф.,,Place the two of clubs next to the ace of clubs.
Положите тройку треф рядом с двойкой треф.,,Place the three of clubs next to the two of clubs.
Положите четвёрку треф рядом с тройкой треф.,,Place the four of clubs next to the three of clubs.
Положите пятёрку треф рядом с четвёркой треф.,,Place the five of clubs next to the four of clubs.
Положите семёрку треф рядом с шестёркой треф.,,Place the six of clubs next to the five of clubs.
Положите семёрку треф рядом с шестёркой треф.,,Place the seven of clubs next to the six of clubs.
Положите восьмёрку треф рядом с семёркой треф.,,Place the eight of clubs next to the seven of clubs.
Положите девятку треф рядом с восьмёркой треф.,,Place the nine of clubs next to the eight of clubs.
Положите десятку треф рядом с девяткой треф.,,Place the ten of clubs next to the nine of clubs.
Положите валета треф рядом с десяткой треф.,,Place the jack of clubs next to the ten of clubs.
Положите даму треф рядом с валетом треф.,,Place the queen of clubs next to the jack of clubs.
Положите короля треф рядом с дамой треф.,,Place the king of clubs next to the queen of clubs.
Положите двойку пик рядом с тузом пик.,,Place the two of spades next to the ace of spades.
Положите тройку пик рядом с двойкой пик.,,Place the three of spades next to the two of spades.
Положите четвёрку пик рядом с тройкой пик.,,Place the four of spades next to the three of spades.
Положите пятёрку пик рядом с четвёркой пик.,,Place the five of spades next to the four of spades.
Положите шестёрку пик рядом с пятёркой пик.,,Place the six of spades next to the five of spades.
Положите семёрку пик рядом с шестёркой пик.,,Place the seven of spades next to the six of spades.
Положите восьмёрку пик рядом с семёркой пик.,,Place the eight of spades next to the seven of spades.
Положите девятку пик рядом с восьмёркой пик.,,Place the nine of spades next to the eight of spades.
Положите десятку пик рядом с девяткой пик.,,Place the ten of spades next to the nine of spades.
Положите валета пик рядом с десяткой пик.,,Place the jack of spades next to the ten of spades.
Положите даму пик рядом с валетом пик.,,Place the queen of spades next to the jack of spades.
Положите короля пик рядом с дамой пик.,,Place the king of spades next to the queen of spades.
Положите двойку червей рядом с тузом червей.,,Place the two of hearts next to the ace of hearts.
Положите тройку червей рядом с двойкой червей.,,Place the three of hearts next to the two of hearts.
Положите четвёрку червей рядом с тройкой червей.,,Place the four of hearts next to the three of hearts.
Положите пятёрку червей рядом с четвёркой червей.,,Place the five of hearts next to the four of hearts.
Положите шестёрку червей рядом с пятёркой червей.,,Place the six of hearts next to the five of hearts.
Положите семёрку червей рядом с шестёркой червей.,,Place the seven of hearts next to the six of hearts.
Положите восьмёрку червей рядом с семёркой червей.,,Place the eight of hearts next to the seven of hearts.
Положите девятку червей рядом с восьмёркой червей.,,Place the nine of hearts next to the eight of hearts.
Положите десятку червей рядом с девяткой червей.,,Place the ten of hearts next to the nine of hearts.
Положите валета червей рядом с десяткой червей.,,Place the jack of hearts next to the ten of hearts.
Положите даму червей рядом с валетом червей.,,Place the queen of hearts next to the jack of hearts.
