source	target
Bastia	Бастиа
Batak	Батак
Batesville	Батсвилл
Bathurst	Батерст
Batna	Батна
Baton Rouge	Батон-Руж
Båtsfjord	Ботсфьорд
Bay City	Беи-Сити
Bay Saint Lawrence	Беи-Саинт-Лоурентс
%B %-d	%-d %B %Y
%b %d %H∶%M	%e %b., %H:%M
%b %d %l:%M %p	%b. %d %l:%M %p
%b %d %l∶%M %p	%-d %B %H:%M
%b %d %Y	%d %b. %Y
%b %d %Y	%-d %B %Y
%B %-d %Y	%-d %B %Y
%b %d %Y	%e %b. %Y
Beardmore	Беардмор
Beatrice	Биатрис
Beauceville	Босевиль
Beaufort force %.1f	%.1f абаллқәа аихшарба Боффорт ала
Beaufort	Бофорт
Beaumont	Бомонт
Beauport	Бопорт
Beauvais	Боваис
Beauvechain	Бовечан
Beaver Falls	Бивер-Фоллс
Beaver Harbour	Бивер-Харбор
Bechar	Бичар
%b %e	%-d %b
%b %e	%e %b
%b %e %H:%M	%e %b., %H:%M
%b %e %H:%M:%S	%e %b., %H:%M:%S
Belarus	Беларусь
Belém	Бетлехем
Belfast	Белфаст
Belgium Dutch Grade 1	Бельгиа голландиатәи аҩаӡара 1
Belgium	Бельгиа
Belgrade	Белград
Belize	Белиз
Bella Coola	Белла-Кула
Bellaire	Беллер
Belleville	Белвилль
Bellevue	Белвиу
%b %e %l:%M %p	%e %b., %l:%M %p
%b %e %l:%M:%S %p	%e %b., %l:%M:%S %p
Belo Horizonte	Белу-Оризонте
Bemidji	Бемиджи
Benares	Варанаши
Benevento	Беневенто
Bengali	Бенгальтәи
Benin	Бенин
Benners	Беннерс
Bennington	Беннингтон
Benson	Бенсон
Benton Harbor	Бентон-Харбор
Bentonville	Бентонвилль
%b %-e_%R	%a, %-e %B_%R
Berberati	Берберати
Berens River	Беренс Ривер
Bergamo	Бергамо
Bergen	Берген
Bergerac	Бержерак
Berkeley	Беркли
Berlevåg	Берлевог
Berlin	Берлин
Bermuda	Абермудқәа
Bern	Берн
Berriane	Берриан
%b %-e_%R:%S	%a, %-e %B_%R:%S
Bethel	Бетел
Bettles	Бетлс
Beverly	Беверли
%b %e, %Y	%-d %b %Y
%b %e %Y %H:%M	%e %b. %Y, %H:%M
%b %e %Y %H:%M:%S	%e %b. %Y, %H:%M:%S
%B %e %Y, %I∶%M∶%S %p	%e %B %Y, %H:%M:%S
%b %e %Y %l:%M %p	%e %b. %Y, %l:%M %p
%b %e %Y %l:%M:%S %p	%e %b. %Y, %l:%M:%S %p
Biarritz	Биариц
bibliography entry	Абиблиографиатә нҵамҭа
bibliography	абиблиографиа
Biella	Бьелла
Bielsko-Biala	Бельско-Биала
Bierset	Бирсет
Big board	Идуу аԥшранҵа
<big><b>The photo is too large</b></big> The recommended size for a photo on your key is %d × %d pixels.	<big><b>Аԥшранҵа амцхә идууп</b></big> адгаларатә рышәага аԥшранҵақәа  ацаԥхаҟны   — %d × %d акәаԥқәа.
<big><b>Tips:</b></big>   * Right-click over the treeview to add items.   * Press Delete to remove the selected item.   * Drag &amp; Drop to reorder.   * Type column is editable.	<big><b>Аҵаҳәарақәа:</b></big>   * Аҵлаҟны  аелемент ацҵаразы , аҵла аҵаҟа аҳәынапԥ арыӷьаратәи пытҟәыр шәақәыӷәӷәа.   * Иалкаау аелементқәа рныхразы шәақәыӷәӷәа Delete.   * Аелеменқәа реишьҭагылашьа аԥсахразы еиҭажәга урҭ аҳәынаԥ ала.   * Ахкы аиҵагыла ариашара ҟалоит.
Bigfork	Бигфорк
Big game	Идуу ахәмарра
Biggin Hill	Биггин-Хил
Big Piney	Биг-Пинеи
Big Rapids	Биг-Репидс
Big Spring	Биг-Спрингс
Bilbao	Бильбао
Billings	Биллингс
Billund	Биллунн
Biloxi	Билокси
Bindersleben	Биндерслебен
Binghamton	Бингментон
Bintulu	Бинтулу
Biography	Абиографиа
Birchwood	Бирчвуд
Birjand	Биржанд
Birmingham	Бирмингем
Bishkek	Бишкек
Bishop	Бишоп
Biskra	Бискра
Bismarck	Бисмарк
bisque	абиквиттә
Bistrita	Бистрица
Bizerte	Бизерта
Black Eagle	Блек-Игл
Blackpool	Блекпул
Black River	Блек-Ривер
Blacksburg	Блексбург
Blagoveschensk	Благовешьенск
blanched almond	аӡыршы иӡааху аминдаль
Blanc-Sablon	Бланк-Саблон
Block	Аидкыла
Bloemfontein	Блумфонтеин
_Blog:	_Аблог:
Blog	Аблог
Blog:	Аблог:
Bloomington	Блумингтон
Bluefields	Блуфилдс
Bluefield	Блуфилд
Blue River	Блиу Ривер
Bluetooth enabled	Bluetooth аҿакуп
Bluetooth On	Bluetooth аҿакуп
Bluetooth RF kill	Bluetooth Rf kill
Blumenau	Блуменау
Blytheville	Блитевилл
Blythe	Блаит
Boat Basin	Боат-Базин
Boa Vista	Боа-Виста
Bodrum	Бодрум
Bogotá	Богота
Bogue	Бог
Bolivia	Боливиа
Bolle	Болле
Bologna	Болониа
Boltåsen	Болтасен
Bolzano	Больцано
Bol	Бол
Bom Jesus da Lapa	Бом-Иисус-да-Лапа
Bon Accord	Бон-Аккорд
Bonn	Бонн
Bonus if >62	Абонус , >62 акәзар
Boone	Бун
Bopomofo	Бопомофо
Bordeaux	Бордо
Borden	Борден
Borger	Боргер
Borlänge	Борленге
Boryspil'	Борисполь
Boscobel	Боскобель
Boscombe	Боскомбе
Bosnia and Herzegovina	Босниеи Герцеговинеи
Boston	Бостон
Botoşani	Ботошани
Botswana Pula	Ботсванская пула
Botswana	Ботсвана
Boukot Ouolof	Боукот-Оулоф
Boulder	Боулдер
Bournemouth	Борнмут
Bou Saada	Боу-Саада
Bow Island	Боу-Аиленд
Bowling Green	Боулинг-Грин
Bowman	Боумен
Box Elder	Бокс-Елдер
Boxes	Абоксқәа
Bozeman	Бозмен
Brahmi	Брахми
Braille	Браиль
Brainerd	Бреинерд
Branches	Амахәқәа
Branch	Амахә
Brandenburg	Бранденбург
Brandon	Брендон
Brasero media burning library	Абиблиотека Brasero аныҟәгага анҵаразы
Brasero optical media library	Абиблиотека Brasero аоптикатә ныҟәгага аус рыдуларазы
Brasero utilities library	Абиблиотека аутилит  Brasero
Brasília Time	Бразилиатәи аамҭа
Brasília	Бразилиа
Braşov	Брашов
Bratislava	Братислава
Bratsk	Братск
Braunschweig	Брауншвеиг
Bravo! You equalized your best score.	Аферым ! Шәара еиҟарашәтәит иреиӷьу шәылҵшәа.
Bravo! You finished the game again.	Аферым ! Шәара еиҭа ахәмарра шәахысит!
Bravo! You finished the game!	Аферым ! Шәара ахәмарра хшәырқәшеит!
Bravo! You improved your best score!	Аферым ! Шәара  иреиӷьыз шәылҵшәа еиҳа еиӷьышәтәит!
Bray	Бреи
Brazilian Portuguese	Бразилиатәи португалиатәи
Brazilian Real	Бразилиатәи реал
Brazil	Бразилиа
Brazzaville	Браззавиль
Bredeck	Бредек
Bremen	Бремен
Bremerton	Бремертон
Brenham	Бренхем
Brescia	Брескиа
Brest	Брест
Breuil-Cervinia	Бреул-Сервиниа
breve	бревис
Bridgeport	Бриджпорт
Bridgetown	Бриджтаун
Brighton	Браитон
Brindisi	Бриндизи
Brisbane	Брисбен
Bristol	Бристоль
British Columbia	Брианиатәи Колумбиа
British Indian Ocean Territory	Британиатәи аҵакырадгьыл Индиатәи аокеан аҟны
British Pound Sterling	Британиатәи  афунт стерлингқәа
British Virgin Islands	Британиатәи Вирджиниатәи адгьылбжьахақәа
Brive	Биве
Brize Norton	Бриз Нортон
Brno	Брно
Broadview	Бродвиу
broken bar	агәҵәытә цәаҳәа аиԥырҟьа аманы
Broken Bow	Брокен-Боу
Brønnøysund	Бронноизунд
Bronstein	Бронштеин
Brookings	Брукингс
Brooksville	Бруксвиль
Brooks	Брукс
Broome	Брум
Broomfield	Брумфилд
Browning	Браунинг
Brownsville	Браунсвиль
Brownwood	Браунвуд
Brunei Dollar	Брунеитәи адоллар
Brunei	Брунеи
Brunswick	Брунсвик
Brusque	Бруски
Bryce Canyon	Браис Каньон
<b>%s</b>: %s <b>%s</b>: %d×%d <b>%s</b>: %s	<b>%s</b>: %s <b>%s</b>: %d×%d <b>%s</b>: %s
Bucaramanga	Букараманга
Büchel	Биухель
Buckhannon	Бакханнон
Buckland	Бакленд
Bujumbura	Бужумбура
Bukoba	Букоба
Bulgarian Lev	Болгариатәи алым
Bulgaria	Болгариа
Bullhead City	Буллхед Сити
Bullsbrook	Буллсбрук
Burbank	Бербанк
Burley	Берли
Burlington	Берлингтон
Burnet	Барнет
Burns Lake	Бернс-Леик
Burns	Бернс
Butler	Батлер
Butte	Бьиутт
Button Attributes	Апытҟәыр аҟазшьарбагақәа
Buzău	Бузеу
byte,bytes,B	баит,абаитқәа,Б
BytesSourceSeqTimeUnits 	Абаитқәа       Ахықәкы        Азҵаалара        Аамҭа        Ашәара ак
Bytes	Абаитқәа
calendar:week_start:0	calendar:week_start:1
Caps lock is on.	Caps Lock  аҿакуп.
Caps Lock is on	Caps Lock аҿакуп
Caps Lock is on	Иаҿакуп арежим Caps Lock
CentOS	Centos OS
century,centuries	ашәышықәса, ашәышықәсақәа
Character Variants	Асимволқәа рвариантқәа
Character Variation 10	Асимвол 10 авариант
Character Variation 11	Асимвол 11 авариант
Character Variation 12	Асимвол 12 авариант
Character Variation 13	Асимвол 13 авариант
Character Variation 14	Асимвол 14 авариант
Character Variation 15	Асимвол 15 авариант
Character Variation 16	Асимвол 16 авариант
Character Variation 17	Асимвол 17 авариант
Character Variation 18	Асимвол 18 авариант
Character Variation 19	Асимвол 19 авариант
Character Variation 1	Асимвол 1 авариант
Character Variation 2	Асимвол 2 авариант
Character Variation 3	Асимвол 3 авариант
Character Variation 4	Асимвол 4 авариант
Character Variation 5	Асимвол 5 авариант
Character Variation 6	Асимвол 6 авариант
Character Variation 7	Асимвол 7 авариант
Character Variation 8	Асимвол 8 авариант
Character Variation 9	Асимвол 9 авариант
Cheese Website	Веб-асаит Cheese
Client Authentication	Аҭааҩ ихаҭареилкаара
Code Insight	Акод анализ
Combo Box Attributes	Иалшәо ахьӡынҵа аҟазшьарбагақәа
Combo Box Text Attributes	Иалшәо атекст ахьӡынҵа аҟазшьарбагақәа
Cookies	Cookie
Copyright © 2008-2013 Red Hat, Inc. Copyright © 2008-2013 David Zeuthen Copyright © 2009-2017 The GNOME Project 	Аԥҵаҩы изин © 2008-2013 Red Hat, Inc. Аԥҵаҩы изин © 2008-2013 David Zeuthen Аԥҵаҩы изин © 2009-2017 The GNOME Project 
Copyright © 2012 – 2021 Red Hat, Inc. Copyright © 2015 – 2018 Umang Jain	Аԥҵаҩы изин © 2012 – 2021 Red Hat, Inc. Аԥҵаҩы изин © 2015 – 2018 Umang Jain
Currencies	Авалиутақәа
Currency of the current calculation	Уажәтәи аихшьалара авалиута
Currency	Авалиута
cyan	ахаҳәиаҵәатә
Database	Адыррақәа рбаза
%d %b %Y	%d %b. %Y
%d-%b-%Y	%d-%b.-%Y
%d %B %Y	%d %b. %Y
(deadlock?) 	(анибакылара)
Default arguments are “-i -f %F -- %R”, where    %F — stands for the From address    %R — stands for the recipient addresses	Аҵаҵӷәқәа ишыҟоу еиԥш: «-i -f %F -- %R», уаҟа    %F — ашьҭҩы иҭыӡҭыԥ    %R — аиуаа рҭыӡҭыԥ
(Deprecated) Proxy authentication password	Аамҭалатәи ахаҭареилкаара аиԥырҟьара
(Deprecated) Proxy authentication user name	Аамҭалатәи ахаҭареилкаара аиԥырҟьара
Devhelp Website	Веб-асаит Devhelp
De_vilish	Иа_апку
